AC,NC,Position
Eb4,Eb4,1
Bb3,Bb3,3
G3,G3,5
Ab3,G3,8
Bb3,Ab3,1
Bb3,Ab3,3
D4,C4,4
F4,Eb4,5
Bb3,Ab3,7
Eb4,Bb3,1
