AC,NC,Position
Ab4,Ab4,1
C5,C5,4
Bb4,Bb4,6
Db5,Db5,1
C5,C5,4
Bb4,Bb4,6
Eb4,Db4,1
Bb4,Ab4,4
G4,F4,6
Ab4,Eb4,1
