AC,NC,Position
Ab3,Ab3,1
Eb3,Eb3,4
C4,C4,5
Ab3,Ab3,6
Eb4,Eb4,7
C4,C4,8
C5,C5,1
Eb4,Eb4,4
Bb4,Ab4,5
Ab4,Ab4,1
