AC,NC,Position
Eb4,Eb4,1
Bb3,Bb3,4
G3,G3,5
Bb3,Bb3,8
Ab3,Ab3,1
Bb3,C4,4
F4,E4,5
D4,C4,6
Eb4,Eb4,1
