AC,NC,Position
A#4,A#4,1
F#4,F#4,4
C#4,C#4,5
B4,C#5,1
F#4,A#4,4
D#4,F#4,5
G#4,B4,1
C#4,D#4,4
E#4,F#4,5
F#4,F#4,1
