AC,NC,Position
Ab4,Ab4,7
Db4,Db4,1
F4,F4,5
Ab4,Ab4,7
Bb4,Bb4,1
Gb4,Gb4,5
Eb4,Db4,7
C4,Bb3,1
Eb4,F4,5
Db4,Gb4,1
