AC,NC,Position
C4,C4,5
Db4,Db4,1
Ab3,Ab3,4
F4,F4,6
Gb4,Gb4,1
Eb4,Db4,3
C4,Bb3,4
Eb4,Db4,6
Db4,Ab4,1
