AC,NC,Position
Ab3,Ab3,1
Bb3,Bb3,3
C4,C4,5
Db4,Db4,7
Eb4,Eb4,1
F4,F4,3
Eb4,Db4,5
G4,F4,7
Ab4,Eb4,1
