AC,NC,Position
Eb4,Eb4,1
C4,C4,5
Ab3,Ab3,7
F4,F4,1
Db4,Db4,5
Ab3,Ab3,7
G4,Ab4,1
Eb4,Db4,5
G4,F4,7
Ab4,Ab4,1
