AC,NC,Position
Bb3,Bb3,1
F3,F3,3
F4,F4,5
Eb4,Eb4,1
Eb3,Eb3,3
G4,G4,5
F4,G4,1
A3,Bb3,3
C4,Eb3,5
Bb4,D3,1
