AC,NC,Position
F#5,F#5,1
C#5,C#5,4
A4,A4,7
C#5,C#5,1
A4,A4,4
F#4,F#4,7
A4,A4,1
C#4,C#4,4
E4,F#4,7
F#4,F#4,1
