AC,NC,Position
F#4,F#4,1
E4,E4,4
D#4,D#4,5
C#4,C#4,8
C#4,D#4,1
B3,C#4,2
A#3,B3,3
C#4,F#4,6
A#3,D#4,8
B3,C#4,1
