AC,NC,Position
D4,D4,1
Bb3,Bb3,3
D4,D4,5
Eb4,Eb4,1
C4,C4,3
Eb4,Eb4,5
F4,G4,1
C4,Eb4,3
A3,C4,5
Bb3,Bb3,1
