AC,NC,Position
A#4,G#4,1
B4,A#4,2
C#5,B4,3
D#5,C#5,6
C#5,B4,7
B4,A#4,8
A#4,G#4,1
G#4,F#4,2
E#4,D#4,3
F#4,C#4,5
